"Course","Section","FYI","Grade","Days_Attended_Math_Gym","Quiz_Zero_Score"
155,1,0,"B",4,15
152,1,"Missing","C",1,7
155,4,0,"F",2,0
152,6,1,"W",3,7.75
251,1,0,"A",5,22
155,1,1,"W",6,12
150,5,1,"F",0,0
152,6,0,"D",4,9
155,4,0,"D",0,10
155,4,1,"W",3,7
152,6,0,"D",0,0
155,4,0,"C",0,14
151,1,"Missing","F",0,10.5
151,6,1,"F",1,11
155,1,0,"F",0,19
155,1,1,"F",1,9
155,1,0,"C",3,7
150,13,0,"C",4,19
155,4,0,"B",2,7
150,9,0,"B",1,17
152,6,0,"A",1,17.75
150,13,"Missing","D",1,"Missing"
150,9,0,"C",13,7
150,1,0,"Missing",3,3
151,6,0,"D",3,16.25
152,6,0,"Missing",6,6
251,1,0,"B",3,7
151,1,"Missing","W",2,18.5
155,4,0,"B",0,19
152,1,"Missing","A",1,13.75
150,5,1,"W",9,5
151,11,1,"F",0,15.25
150,13,0,"C",0,14
155,1,0,"W",0,15
151,6,1,"W",2,11.75
155,1,1,"W",0,7
152,6,0,"C",1,15
151,6,0,"C",14,12.75
152,14,0,"A",1,20.5
151,11,0,"D",1,18.25
155,1,1,"A",5,5
152,1,"Missing","B",1,7.75
251,1,0,"A",2,16
151,6,0,"A",5,16.5
150,1,1,"Missing",1,0
151,1,"Missing","C",0,11.5
152,14,0,"B",0,21.75
151,11,0,"A",0,24.75
150,1,0,"Missing",10,9
150,1,1,"Missing",4,21
150,1,0,"Missing",0,19
150,13,0,"C",4,19
152,14,0,"B",0,16.75
152,6,0,"B",1,13.25
152,6,1,"F",0,9.5
251,5,"Missing","B",4,10
151,11,0,"D",5,21.75
151,11,0,"B",0,7.5
152,14,0,"F",1,9.75
152,6,0,"B",0,11.75
155,1,0,"C",1,15
155,4,0,"D",4,13
151,6,0,"B",18,10
151,11,1,"C",11,8
251,5,"Missing","C",0,0
155,4,"Missing","C",5,"Missing"
151,11,0,"A",6,16
151,11,1,"F",1,5
150,1,0,"Missing",5,11
151,1,"Missing","C",0,15.5
152,1,"Missing","A",3,9
151,1,"Missing","F",3,19
155,4,0,"C",2,9
150,5,0,"A",3,15
152,1,"Missing","B",0,14.5
155,1,0,"W",0,17
150,5,0,"A",0,22
151,1,"Missing","W",0,19
155,4,0,"C",0,0
151,1,"Missing","A",11,15.75
155,1,0,"A",4,14
152,14,0,"B",0,13
152,14,0,"D",12,5.75
155,1,0,"F",0,0
152,1,"Missing","D",0,"Missing"
152,1,"Missing","A",3,11.25
152,14,0,"B",0,11.25
152,6,0,"D",3,6.5
155,1,0,"B",2,16
152,1,"Missing","B",0,21
152,1,"Missing","B",2,17
155,4,0,"D",0,10
155,1,0,"W",0,0
151,11,0,"D",1,19
155,1,0,"A",9,14
151,6,0,"A",3,14
152,1,"Missing","B",5,13.25
152,6,1,"F",3,9.25
151,6,0,"B",3,14.75
155,4,0,"F",0,0
150,13,0,"C",8,14
150,9,0,"A",2,19
155,1,0,"F",0,9
251,5,"Missing","B",0,20
150,1,0,"Missing",4,18
151,6,0,"A",1,19.25
152,14,1,"W",0,13
155,4,0,"B",7,9
155,1,1,"F",0,7
151,1,"Missing","A",1,16
155,4,0,"C",1,0
150,1,1,"Missing",0,16
151,11,1,"F",1,14
155,4,0,"B",5,18
155,1,0,"B",7,10
155,1,0,"B",5,14
152,14,0,"B",3,7
151,1,"Missing","B",5,20.75
151,1,"Missing","D",6,19.25
151,6,0,"C",2,14.75
150,1,0,"Missing",1,18
151,6,0,"D",0,9
151,6,0,"C",0,14
155,1,1,"C",1,14
152,6,0,"A",0,17.25
151,11,0,"B",0,8.5
151,11,1,"C",0,8
155,4,0,"C",3,12
251,5,"Missing","A",2,8
151,11,0,"A",5,15.25
152,6,0,"W",10,3
155,4,0,"C",0,18
150,1,1,"Missing",0,14
251,1,1,"F",0,13
251,1,0,"F",0,0
251,1,0,"A",0,13
155,1,0,"B",0,18
155,1,1,"A",9,9
152,6,0,"C",0,4.5
150,5,0,"B",3,17
152,1,"Missing","W",0,9.75
251,1,0,"C",0,4
152,6,0,"B",0,17.5
151,1,"Missing","W",0,12
251,5,"Missing","B",1,0
155,4,0,"B",2,8
155,4,0,"B",0,12
150,13,0,"D",0,14
155,1,0,"D",2,7
150,9,0,"B",13,19
155,1,0,"A",3,15
151,6,0,"B",12,14.75
150,5,1,"C",0,17
155,4,0,"A",1,16
152,6,0,"C",5,15.25
152,6,0,"A",1,24
251,1,1,"C",6,7
152,6,0,"C",0,15.25
151,6,0,"B",0,15.75
155,4,1,"F",2,10
251,1,1,"B",0,10
152,6,0,"B",0,18.25
152,14,1,"W",0,6
152,14,0,"A",7,22.25
151,11,1,"F",1,16.75
155,4,0,"C",1,14
251,1,0,"A",0,0
150,1,0,"Missing",1,21
152,1,"Missing","A",1,17.25
152,6,0,"D",1,11.5
152,14,0,"F",0,8
152,6,0,"F",0,15.5
150,13,0,"F",2,9
152,14,0,"F",0,6.5
150,1,0,"Missing",0,15
152,1,"Missing","C",1,12
251,5,"Missing","C",0,0
152,1,"Missing","W",0,0
155,4,0,"A",11,7
152,1,"Missing","B",0,9.25
152,14,0,"D",0,0
152,14,1,"F",0,5.5
152,6,0,"B",1,7.5
152,14,0,"B",1,18.75
151,11,0,"A",0,20.75
150,9,1,"D",0,19
152,14,0,"C",1,12.5
151,1,"Missing","C",3,10.25
251,1,0,"A",0,25
151,6,1,"D",16,2.5
152,1,"Missing","D",0,12
155,1,1,"D",0,9
251,1,0,"A",0,22
152,14,0,"C",2,7.25
151,1,"Missing","B",0,20.75
251,1,0,"A",1,10
151,1,"Missing","F",2,15.5
151,1,"Missing","B",0,20.75
150,13,0,"B",1,12
155,1,0,"A",7,18
251,5,"Missing","B",1,5
151,1,"Missing","C",0,6.25
151,6,0,"B",1,14.75
150,1,0,"Missing",4,15
151,6,0,"C",0,21.75
152,6,1,"W",5,8.75
155,4,1,"F",0,6
152,6,0,"B",0,12.75
152,14,1,"W",0,9.75
151,1,"Missing","F",0,16.5
152,6,0,"C",0,10.25
152,14,0,"C",5,8.25
152,6,0,"B",2,13.5
150,5,1,"Missing",14,8
150,9,0,"A",3,16
251,1,0,"D",1,13
150,13,0,"B",0,23
151,1,"Missing","C",9,19
151,1,"Missing","D",3,1
152,1,"Missing","F",0,10.75
155,4,0,"A",3,16
152,14,0,"D",3,10.25
150,9,0,"B",3,14
151,1,"Missing","C",0,19
155,4,1,"F",3,4
152,1,"Missing","A",0,16.25
152,14,0,"C",0,18.5
152,1,"Missing","A",1,13.75
155,1,1,"C",8,5
151,1,"Missing","C",0,19.5
150,9,1,"W",0,7
155,1,0,"A",6,14
151,1,"Missing","B",6,22
151,6,0,"B",1,18
152,6,0,"A",0,24.5
150,9,0,"D",0,11
151,11,1,"C",5,15.75
155,4,0,"B",4,14
155,4,0,"D",2,10
152,1,"Missing","C",16,7.75
155,4,0,"W",0,0
152,1,"Missing","W",0,12.75
155,1,0,"C",0,14
152,6,0,"B",2,10.25
151,6,0,"B",0,23.25
151,11,1,"W",1,1.25
155,4,1,"D",0,15
151,11,"Missing","C",1,"Missing"
152,6,0,"C",0,8.75
152,14,0,"C",1,20.75
155,1,"Missing","C",3,"Missing"
152,6,1,"F",0,6.5
152,6,1,"F",0,14.75
152,14,0,"C",0,9.25
155,1,0,"A",10,16
152,1,"Missing","B",3,7
155,1,1,"W",1,7
155,1,0,"A",15,13
152,6,0,"A",0,16.75
152,6,0,"B",0,13
251,1,0,"B",0,10
150,5,1,"W",0,16
155,1,1,"C",4,14
152,6,0,"B",0,21.25
155,1,0,"C",4,13
251,5,"Missing","A",2,2
151,6,0,"A",4,24
150,1,1,"Missing",5,15
151,1,"Missing","F",0,0
150,1,0,"Missing",0,6
155,4,0,"B",0,17
155,4,0,"C",2,4
152,14,0,"W",8,5
151,6,0,"A",0,19.5
150,1,0,"Missing",1,15
152,1,"Missing","A",3,14.25
151,1,"Missing","C",0,10.25
150,13,1,"W",12,8
151,1,"Missing","B",7,12.5
150,13,1,"W",1,12
155,4,0,"C",1,12
251,1,0,"B",1,4
150,5,0,"B",0,23
152,14,0,"D",4,7.75
155,1,"Missing","Missing",2,"Missing"
152,1,"Missing","D",0,6.5
152,6,0,"C",4,8.75
152,14,0,"A",0,23.5
152,6,0,"B",2,19.5
151,1,"Missing","C",0,19.75
251,1,0,"B",2,13
152,1,"Missing","B",3,8
151,6,0,"A",0,19.5
152,6,0,"B",5,19
151,11,0,"D",0,20.5
251,1,0,"A",1,7
251,5,"Missing","C",0,0
151,11,0,"C",5,5
251,1,0,"W",0,13
150,9,1,"W",2,16
151,6,0,"D",0,19.5
152,6,0,"C",2,15.75
152,14,0,"A",1,9.5
151,6,0,"D",6,14.5
152,14,0,"B",1,12.75
151,6,0,"B",1,21.25
152,14,0,"C",0,13
151,6,1,"D",4,18.5
155,4,0,"C",0,0
155,4,0,"D",0,15
150,5,1,"F",1,4
251,1,0,"A",4,22
151,1,"Missing","W",0,2.5
251,1,0,"B",2,16
151,11,0,"C",6,6.25
155,1,0,"A",10,18
152,1,"Missing","B",0,8.75
251,1,0,"B",1,13
152,14,0,"D",0,15.5
155,1,0,"A",10,10
152,1,"Missing","C",0,8.75
151,1,"Missing","C",6,6
150,1,1,"Missing",0,19
152,14,0,"B",0,18.5
251,5,"Missing","B",0,17
150,1,1,"Missing",0,13
151,1,"Missing","C",9,18.75
155,4,1,"D",6,9
155,4,0,"D",0,13
155,4,0,"C",4,15
151,1,"Missing","C",4,14.5
152,1,"Missing","W",0,0
151,11,0,"A",26,14.75
155,1,0,"B",6,8
155,4,0,"B",4,12
151,6,0,"F",0,15.5
152,14,1,"W",2,6
155,1,0,"W",0,13
155,4,0,"B",6,12
155,4,0,"B",1,14
152,6,0,"A",8,20
150,13,0,"C",1,17
150,1,1,"Missing",0,17
155,4,1,"F",2,11
155,4,0,"W",0,10
150,5,0,"C",6,13
155,4,0,"C",11,9
251,1,0,"B",0,13
151,1,"Missing","A",2,20.5
152,6,0,"D",8,0
150,13,0,"A",12,12
151,11,1,"W",0,15.25
152,14,0,"B",0,21.5
152,6,0,"F",0,17.75
150,1,0,"Missing",1,22
150,9,1,"D",2,12
151,11,0,"C",0,16
152,14,"Missing","W",0,"Missing"
151,1,"Missing","W",0,7.5
152,1,"Missing","A",0,13.25
152,6,0,"A",1,16
152,14,0,"C",0,18
151,6,0,"F",0,17.5
150,1,1,"Missing",0,8
155,1,1,"F",1,8
155,1,0,"A",3,19
152,1,"Missing","D",0,9.25
251,1,0,"C",0,10
152,1,"Missing","C",0,21.25
150,9,0,"B",5,15
155,4,0,"F",0,6
155,1,1,"W",0,11
155,4,0,"C",2,10
155,1,1,"C",14,6
150,9,0,"D",0,17
155,4,0,"C",2,11
152,6,0,"A",0,20.75
155,4,0,"C",5,14
155,4,0,"C",1,5
152,6,0,"B",2,13.75
151,1,"Missing","W",0,12.25
155,4,0,"F",0,10
151,1,"Missing","D",13,6.75
151,1,"Missing","Missing",1,23
150,1,0,"Missing",0,17
155,1,0,"B",4,14
151,11,0,"F",1,15.25
155,1,0,"C",6,5
251,5,"Missing","B",2,1
152,1,"Missing","D",5,8.75
155,1,1,"F",1,0
151,1,"Missing","A",0,21
155,1,0,"B",1,15
151,11,1,"F",2,6.75
151,6,0,"C",4,15.75
151,1,"Missing","A",0,21
155,1,0,"B",0,13
151,6,0,"D",1,20.75
251,1,0,"A",1,13
155,4,0,"D",0,7
152,1,"Missing","F",0,2.5
151,6,1,"C",0,16.5
251,1,0,"A",1,19
150,1,0,"Missing",1,14
152,14,0,"A",0,24.5
151,11,0,"B",0,12.75
155,4,0,"C",0,18
152,14,0,"W",3,8.25
155,1,0,"C",0,15
151,6,0,"B",1,16.25
152,14,0,"A",0,17.25
151,6,0,"C",5,5.75
251,1,1,"F",0,1
152,6,0,"F",0,12.25
151,1,"Missing","C",0,16
150,9,0,"B",0,19
150,1,0,"Missing",1,10
251,5,"Missing","A",1,10
155,1,0,"B",6,8
