Country Name,Country Code,IntUsrs2000,IntUsrs2001,IntUsrs2002,IntUsrs2003,IntUsrs2004,IntUsrs2005,IntUsrs2006,IntUsrs2007,IntUsrs2008,IntUsrs2009,IntUsrs2010,IntUsrs2011,IntUsrs2012,IntUsrs2013,IntUsrs2014
Kenya,KEN,0.3,0.6,1.2,2.9,3,3.1,7.5,8,8.7,10,14,28,32.1,39,43.4
Kiribati,KIR,1.8,2.3,2.5,3,3.5,4,4.5,6,7,9,9.1,10,10.7,11.5,12.3
"Korea, Dem. People?s Rep.",PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0
"Korea, Rep.",KOR,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.8,84.1,84.8,84.3
Kosovo,KSV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,6.7,8.6,10.2,22.4,22.9,25.9,28.8,34.8,42,50.8,61.4,65.8,70.5,75.5,78.7
Kyrgyz Republic,KGZ,1,3,3,3.9,5.1,10.5,12.3,14,15.7,16,16.3,17.5,19.8,23,28.3
Lao PDR,LAO,0.1,0.2,0.3,0.3,0.4,0.9,1.2,1.6,3.6,6,7,9,10.7,12.5,14.3
Latvia,LVA,6.3,7.2,21.9,27,38.6,46,53.6,59.2,63.4,66.8,68.4,69.7,73.1,75.2,75.8
Lebanon,LBN,8,6.8,7,8,9,10.1,15,18.7,22.5,30.1,43.7,52,61.2,70.5,74.7
Lesotho,LSO,0.2,0.3,1.1,1.5,2.2,2.6,3,3.4,3.6,3.7,3.9,4.2,4.6,5,11
Liberia,LBR,0,0,0,0,0,..,..,0.6,0.5,2,2.3,2.5,2.6,3.2,5.4
Libya,LBY,0.2,0.4,2.2,2.8,3.5,3.9,4.3,4.7,9,10.8,14,14,..,16.5,17.8
Liechtenstein,LIE,36.5,45.1,59.5,58.8,64,63.4,64.2,65.1,70,75,80,85,89.4,93.8,95.2
Lithuania,LTU,6.4,7.2,17.7,25.9,31.2,36.2,43.9,49.9,55.2,59.8,62.1,63.6,67.2,68.5,72.1
Luxembourg,LUX,22.9,36.2,39.8,54.6,65.9,70,72.5,78.9,82.2,87.3,90.6,90,91.9,93.8,94.7
"Macao SAR, China",MAC,13.6,22.5,25.2,25.7,31.5,34.9,46.4,47.3,49.2,54,55.2,60.2,61.3,65.8,69.8
"Macedonia, FYR",MKD,2.5,3.5,17.3,19.1,24.4,26.5,28.6,36.3,46,51.8,51.9,56.7,57.4,65.2,68.1
Madagascar,MDG,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,1.7,1.6,1.7,1.9,2.3,3,3.7
Malawi,MWI,0.1,0.2,0.2,0.3,0.3,0.4,0.4,1,0.7,1.1,2.3,3.3,4.4,5.1,5.8
Malaysia,MYS,21.4,26.7,32.3,35,42.3,48.6,51.6,55.7,55.8,55.9,56.3,61,65.8,67,67.5
Maldives,MDV,2.2,3.6,5.3,6,6.6,6.9,11,16.3,23.2,24.8,26.5,34,38.9,44.1,49.3
Mali,MLI,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.6,1.8,2,2.2,2.8,3.5,7
Malta,MLT,13.1,17.9,28.9,31.6,34.6,41.2,40.4,46.9,50.1,58.9,63,68,68.2,68.9,73.2
Marshall Islands,MHL,1.5,1.7,2.3,2.6,3.6,3.9,3.8,4,4.6,5.6,7,10,12.5,14,16.8
Mauritania,MRT,0.2,0.3,0.4,0.4,0.5,0.7,1,1.4,1.9,2.3,4,4.5,5,6.2,10.7
Mauritius,MUS,7.3,8.8,10.3,12.2,13.7,15.2,16.7,20.2,21.8,22.5,28.3,35,35.4,39,41.4
Mexico,MEX,5.1,7,11.9,12.9,14.1,17.2,19.5,20.8,21.7,26.3,31.1,37.2,39.8,43.5,44.4
"Micronesia, Fed. Sts.",FSM,3.7,4.7,5.6,9.2,11,11.9,12.8,13.6,14.5,15.4,20,22.8,26,27.8,29.7
Moldova,MDA,1.3,1.5,3.8,7.4,10.6,14.6,19.6,20.5,23.4,27.5,32.3,38,43.4,45,46.6
Monaco,MCO,42.2,46.6,48,49.5,52.5,55.5,61.5,64.4,67.3,70.1,75,80.3,87,90.7,92.4
Mongolia,MNG,1.3,1.7,2,..,..,..,..,9,9.8,10,10.2,12.5,16.4,20,27
Montenegro,MNE,..,..,..,..,25.4,27.1,28.9,30.8,32.9,35.1,37.5,35.6,56.8,60.3,61
Morocco,MAR,0.7,1.4,2.4,3.4,11.6,15.1,19.8,21.5,33.1,41.3,52,46.1,55.4,56,56.8
Mozambique,MOZ,0.1,0.2,0.3,0.4,0.7,0.9,0.8,0.9,1.6,2.7,4.2,4.3,4.8,5.4,5.9
Myanmar,MMR,..,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.3,1,1.1,1.6,2.1
Namibia,NAM,1.6,2.4,2.6,3.4,3.8,4,4.4,4.8,5.3,6.5,11.6,12,12.9,13.9,14.8
Nepal,NPL,0.2,0.2,0.3,0.4,0.4,0.8,1.1,1.4,1.7,2,7.9,9,11.1,13.3,15.4
Netherlands,NLD,44,49.4,61.3,64.4,68.5,81,83.7,85.8,87.4,89.6,90.7,91.4,92.9,94,93.2
New Caledonia,NCL,13.9,18.2,22.4,26.4,30.3,32.4,33.5,35.1,34.5,34,42,50,58,66,70
New Zealand,NZL,47.4,53.2,59.1,61,61.8,62.7,69,69.8,72,79.7,80.5,81.2,82,82.8,85.5
Nicaragua,NIC,1,1.4,1.7,1.9,2.3,2.6,2.8,3.9,5.3,7.3,10,10.6,13.5,15.5,17.6
Niger,NER,0,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.7,0.8,0.8,1.3,1.4,1.7,2
Nigeria,NGA,0.1,0.1,0.3,0.6,1.3,3.5,5.5,6.8,15.9,20,24,28.4,32.8,38,42.7
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,52,64,72.8,78.1,77.7,82,82.6,86.9,90.6,92.1,93.4,93.5,94.6,95.1,96.3
Oman,OMN,3.5,5.9,6.9,7.3,6.8,6.7,8.3,16.7,20,26.8,35.8,48,60,66.5,70.2
Pakistan,PAK,..,1.3,2.6,5,6.2,6.3,6.5,6.8,7,7.5,8,9,10,10.9,13.8
Palau,PLW,..,..,20.2,21.6,27,..,..,..,..,..,..,..,..,..,..
Panama,PAN,6.6,7.3,8.5,10,11.1,11.5,17.3,22.3,33.8,39.1,40.1,42.7,40.3,44,44.9
Papua New Guinea,PNG,0.8,0.9,1.3,1.4,1.5,1.7,1.8,1.8,1.2,1.6,1.3,2,3.5,6.5,9.4
Paraguay,PRY,0.7,1.1,1.8,2.1,3.5,7.9,8,11.2,14.3,18.9,19.8,24.8,29.3,36.9,43
Peru,PER,3.1,7.6,9,11.6,14.1,17.1,20.7,25.2,30.6,31.4,34.8,36,38.2,39.2,40.2
